País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Honduras,Ambos sexos,1998,480,,HND,42
México,Ambos sexos,1998,480,,MEX,38
Nicaragua,Ambos sexos,1998,480,,NIC,49
Panamá,Ambos sexos,1998,480,,PAN,33
Paraguay,Ambos sexos,1998,480,,PRY,32
Perú,Ambos sexos,1998,480,,PER,42
Uruguay,Ambos sexos,1998,480,,URY,33
Venezuela (República Bolivariana de),Ambos sexos,1998,480,,VEN,49
Argentina,Hombres,1998,480,,ARG,49
Bolivia (Estado Plurinacional de),Hombres,1998,480,,BOL,41
Brasil,Hombres,1998,480,,BRA,43
Chile,Hombres,1998,480,,CHL,30
Colombia,Hombres,1998,480,,COL,36
Costa Rica,Hombres,1998,480,,CRI,43
Ecuador,Hombres,1998,480,,ECU,48
El Salvador,Hombres,1998,480,,SLV,67
Guatemala,Hombres,1998,480,,GTM,54
Honduras,Hombres,1998,480,,HND,45
México,Hombres,1998,480,,MEX,38
Nicaragua,Hombres,1998,480,,NIC,47
Panamá,Hombres,1998,480,,PAN,31
Paraguay,Hombres,1998,480,,PRY,30
Perú,Hombres,1998,480,,PER,40
Uruguay,Hombres,1998,480,,URY,34
Venezuela (República Bolivariana de),Hombres,1998,480,,VEN,50
Argentina,Mujeres,1998,480,,ARG,51
Bolivia (Estado Plurinacional de),Mujeres,1998,480,,BOL,38
Brasil,Mujeres,1998,480,,BRA,41
Chile,Mujeres,1998,480,,CHL,30
Colombia,Mujeres,1998,480,,COL,35
Costa Rica,Mujeres,1998,480,,CRI,46
Ecuador,Mujeres,1998,480,,ECU,50
El Salvador,Mujeres,1998,480,,SLV,74
Guatemala,Mujeres,1998,480,,GTM,54
Honduras,Mujeres,1998,480,,HND,40
México,Mujeres,1998,480,,MEX,39
Nicaragua,Mujeres,1998,480,,NIC,50
Panamá,Mujeres,1998,480,,PAN,34
Paraguay,Mujeres,1998,480,,PRY,33
Perú,Mujeres,1998,480,,PER,44
Uruguay,Mujeres,1998,480,,URY,32
Venezuela (República Bolivariana de),Mujeres,1998,480,,VEN,49
Argentina,Ambos sexos,2001,480,,ARG,46
Bolivia (Estado Plurinacional de),Ambos sexos,2001,480,,BOL,46
Brasil,Ambos sexos,2001,480,,BRA,36
Chile,Ambos sexos,2001,480,,CHL,42
Colombia,Ambos sexos,2001,480,,COL,34
Costa Rica,Ambos sexos,2001,480,,CRI,31
Ecuador,Ambos sexos,2001,480,,ECU,56
El Salvador,Ambos sexos,2001,480,,SLV,36
Guatemala,Ambos sexos,2001,480,,GTM,41
Honduras,Ambos sexos,2001,480,,HND,36
México,Ambos sexos,2001,480,,MEX,78
Nicaragua,Ambos sexos,2001,480,,NIC,41
Panamá,Ambos sexos,2001,480,,PAN,37
Paraguay,Ambos sexos,2001,480,,PRY,39
Perú,Ambos sexos,2001,480,,PER,49
Uruguay,Ambos sexos,2001,480,,URY,30
Venezuela (República Bolivariana de),Ambos sexos,2001,480,,VEN,49
Argentina,Hombres,2001,480,,ARG,45
Bolivia (Estado Plurinacional de),Hombres,2001,480,,BOL,48
Brasil,Hombres,2001,480,,BRA,35
Chile,Hombres,2001,480,,CHL,44
Colombia,Hombres,2001,480,,COL,35
Costa Rica,Hombres,2001,480,,CRI,32
Ecuador,Hombres,2001,480,,ECU,57
El Salvador,Hombres,2001,480,,SLV,38
Guatemala,Hombres,2001,480,,GTM,41
Honduras,Hombres,2001,480,,HND,37
México,Hombres,2001,480,,MEX,77
Nicaragua,Hombres,2001,480,,NIC,43
Panamá,Hombres,2001,480,,PAN,36
Paraguay,Hombres,2001,480,,PRY,38
Perú,Hombres,2001,480,,PER,48
Uruguay,Hombres,2001,480,,URY,29
Venezuela (República Bolivariana de),Hombres,2001,480,,VEN,47
Argentina,Mujeres,2001,480,,ARG,48
Bolivia (Estado Plurinacional de),Mujeres,2001,480,,BOL,45
Brasil,Mujeres,2001,480,,BRA,37
Chile,Mujeres,2001,480,,CHL,41
Colombia,Mujeres,2001,480,,COL,33
Costa Rica,Mujeres,2001,480,,CRI,30
Ecuador,Mujeres,2001,480,,ECU,56
El Salvador,Mujeres,2001,480,,SLV,35
Guatemala,Mujeres,2001,480,,GTM,40
Honduras,Mujeres,2001,480,,HND,35
México,Mujeres,2001,480,,MEX,79
Nicaragua,Mujeres,2001,480,,NIC,40
Panamá,Mujeres,2001,480,,PAN,38
Paraguay,Mujeres,2001,480,,PRY,41
Perú,Mujeres,2001,480,,PER,49
Uruguay,Mujeres,2001,480,,URY,31
Venezuela (República Bolivariana de),Mujeres,2001,480,,VEN,50
Argentina,Ambos sexos,2002,480,,ARG,47
Bolivia (Estado Plurinacional de),Ambos sexos,2002,480,,BOL,34
Brasil,Ambos sexos,2002,480,,BRA,36
Chile,Ambos sexos,2002,480,,CHL,36
Colombia,Ambos sexos,2002,480,,COL,37
Costa Rica,Ambos sexos,2002,480,,CRI,36
Ecuador,Ambos sexos,2002,480,,ECU,40
El Salvador,Ambos sexos,2002,480,,SLV,34
Guatemala,Ambos sexos,2002,480,,GTM,41
Honduras,Ambos sexos,2002,480,,HND,34
México,Ambos sexos,2002,480,,MEX,76
Nicaragua,Ambos sexos,2002,480,,NIC,35
Panamá,Ambos sexos,2002,480,,PAN,29
Paraguay,Ambos sexos,2002,480,,PRY,46
Perú,Ambos sexos,2002,480,,PER,38
Uruguay,Ambos sexos,2002,480,,URY,28
Venezuela (República Bolivariana de),Ambos sexos,2002,480,,VEN,44
Argentina,Hombres,2002,480,,ARG,48
Bolivia (Estado Plurinacional de),Hombres,2002,480,,BOL,33
Brasil,Hombres,2002,480,,BRA,35
Chile,Hombres,2002,480,,CHL,35
Colombia,Hombres,2002,480,,COL,37
Costa Rica,Hombres,2002,480,,CRI,36
Ecuador,Hombres,2002,480,,ECU,41
El Salvador,Hombres,2002,480,,SLV,34
Guatemala,Hombres,2002,480,,GTM,43
Honduras,Hombres,2002,480,,HND,36
México,Hombres,2002,480,,MEX,73
Nicaragua,Hombres,2002,480,,NIC,37
Panamá,Hombres,2002,480,,PAN,29
Paraguay,Hombres,2002,480,,PRY,41
Perú,Hombres,2002,480,,PER,38
Uruguay,Hombres,2002,480,,URY,27
Venezuela (República Bolivariana de),Hombres,2002,480,,VEN,43
Argentina,Mujeres,2002,480,,ARG,47
Bolivia (Estado Plurinacional de),Mujeres,2002,480,,BOL,34
Brasil,Mujeres,2002,480,,BRA,37
Chile,Mujeres,2002,480,,CHL,36
Colombia,Mujeres,2002,480,,COL,38
Costa Rica,Mujeres,2002,480,,CRI,35
Ecuador,Mujeres,2002,480,,ECU,40
El Salvador,Mujeres,2002,480,,SLV,34
Guatemala,Mujeres,2002,480,,GTM,40
Honduras,Mujeres,2002,480,,HND,33
México,Mujeres,2002,480,,MEX,78
Nicaragua,Mujeres,2002,480,,NIC,32
Panamá,Mujeres,2002,480,,PAN,28
Paraguay,Mujeres,2002,480,,PRY,50
Perú,Mujeres,2002,480,,PER,38
Uruguay,Mujeres,2002,480,,URY,29
Venezuela (República Bolivariana de),Mujeres,2002,480,,VEN,45
Argentina,Ambos sexos,2003,480,,ARG,43
